#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Forcing parameters near surface or top of the domain based on user's choice 
# 0:time [hr] 1:T [K] 2:S [m s^-1] 3:RH [-] 4:q [kg kg^-1] 5:Pressure [Pa] 6:Rain [mm s^-1] 
0 285.258333 1.108333 0.951167 0.008800 95619.358333 0.000000 
1 285.158333 1.100000 0.955667 0.008800 95620.316667 0.000000 
2 285.150000 1.008333 0.957833 0.008800 95609.958333 0.000000 
3 284.691667 1.000000 0.966250 0.008600 95645.941667 0.000000 
4 285.016667 0.816667 0.969750 0.008800 95652.416667 0.000000 
5 286.058333 0.891667 0.931500 0.009100 95682.033333 0.000000 
6 286.425000 0.991667 0.939917 0.009400 95711.833333 0.000000 
7 286.725000 1.183333 0.919000 0.009300 95727.591667 0.000000 
8 287.300000 1.200000 0.902333 0.009500 95742.641667 0.000000 
9 288.083333 1.291667 0.873500 0.009700 95732.075000 0.000000 
10 289.616667 1.391667 0.817833 0.010000 95727.516667 0.000000 
11 290.850000 1.675000 0.756167 0.010000 95688.975000 0.000000 
12 291.041667 1.425000 0.710667 0.009500 95652.500000 0.000000 
13 291.416667 2.041667 0.675833 0.009300 95660.775000 0.000000 
14 289.891667 1.825000 0.721583 0.009000 95702.591667 0.000000 
15 289.566667 1.708333 0.728750 0.008900 95711.066667 0.000000 
16 289.091667 1.516667 0.782167 0.009300 95695.641667 0.000000 
17 288.866667 1.866667 0.803500 0.009400 95742.141667 0.000000 
18 288.025000 1.808333 0.791250 0.008700 95772.900000 0.000000 
19 286.941667 1.800000 0.839500 0.008600 95826.633333 0.000000 
20 286.391667 1.708333 0.876083 0.008700 95874.108333 0.000000 
21 285.891667 1.791667 0.919333 0.008800 95880.750000 0.000000 
22 285.758333 2.075000 0.919333 0.008700 95882.650000 0.000000 
23 285.566667 2.558333 0.902500 0.008500 95902.966667 0.000000 
24 285.183333 3.150000 0.916583 0.008400 95916.441667 0.000000 
25 284.691667 3.108333 0.921667 0.008200 95953.800000 0.000000 
26 284.283333 2.825000 0.922917 0.008000 95996.425000 0.000000 
27 283.883333 2.433333 0.919333 0.007700 96038.775000 0.000000 
28 283.758333 2.400000 0.909833 0.007600 96081.258333 0.000000 
29 283.933333 2.858333 0.890667 0.007500 96140.716667 0.000000 
30 284.041667 3.175000 0.886250 0.007500 96173.850000 0.000000 
