#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Forcing parameters near surface or top of the domain based on user's choice 
# 0:time [hr] 1:T [K] 2:S [m s^-1] 3:RH [-] 4:q [kg kg^-1] 5:Pressure [Pa] 6:Rain [mm s^-1] 
0 291.333333 3.216667 0.704500 0.009300 99266.400000 0.000000 
1 290.700000 3.383333 0.720750 0.009100 99276.333333 0.000000 
2 289.641667 3.033333 0.755917 0.008900 99302.850000 0.000000 
3 289.183333 2.908333 0.784667 0.009000 99326.008333 0.000000 
4 289.241667 2.533333 0.816333 0.009400 99368.141667 0.000000 
5 289.708333 2.408333 0.799750 0.009500 99369.966667 0.000000 
6 290.850000 2.491667 0.752167 0.009600 99388.133333 0.000000 
7 291.591667 2.866667 0.714083 0.009500 99382.466667 0.000000 
8 292.383333 2.991667 0.683500 0.009600 99366.308333 0.000000 
9 293.183333 3.000000 0.649833 0.009600 99391.208333 0.000000 
10 293.891667 3.000000 0.617667 0.009500 99376.366667 0.000000 
11 294.500000 2.908333 0.588417 0.009400 99347.025000 0.000000 
12 295.008333 2.900000 0.544750 0.009000 99315.166667 0.000000 
13 295.141667 2.716667 0.528167 0.008800 99270.791667 0.000000 
14 295.333333 2.241667 0.518750 0.008700 99221.808333 0.000000 
15 295.625000 2.200000 0.507000 0.008700 99175.991667 0.000000 
16 295.558333 2.200000 0.514250 0.008800 99151.666667 0.000000 
17 295.091667 1.925000 0.527833 0.008800 99159.700000 0.000000 
18 294.591667 1.808333 0.535417 0.008600 99169.583333 0.000000 
19 294.275000 1.983333 0.548833 0.008700 99219.991667 0.000000 
20 294.158333 1.908333 0.560083 0.008800 99248.058333 0.000000 
21 293.966667 1.991667 0.574750 0.008900 99225.541667 0.000000 
22 293.766667 2.183333 0.593417 0.009100 99182.050000 0.000000 
23 293.383333 2.200000 0.610583 0.009100 99199.933333 0.000000 
24 290.508333 2.200000 0.751333 0.009400 99174.033333 0.000000 
25 290.616667 1.558333 0.757583 0.009500 99179.383333 0.000000 
26 290.466667 1.408333 0.760667 0.009500 99157.825000 0.000000 
27 290.358333 1.766667 0.764667 0.009500 99133.983333 0.000000 
28 290.625000 1.341667 0.784250 0.009900 99127.600000 0.000000 
29 291.108333 0.475000 0.793333 0.010300 99120.600000 0.000000 
30 292.250000 0.766667 0.718833 0.010000 99131.916667 0.000000 
31 293.725000 1.166667 0.652417 0.010000 99120.166667 0.000000 
32 295.225000 1.291667 0.596583 0.010000 99087.741667 0.000000 
33 296.725000 1.391667 0.548917 0.010100 99106.991667 0.000000 
34 298.041667 1.583333 0.508333 0.010100 99062.891667 0.000000 
35 299.158333 1.783333 0.474750 0.010100 98997.008333 0.000000 
36 299.066667 1.616667 0.500417 0.010600 98930.441667 0.000000 
37 299.416667 1.966667 0.504833 0.010900 98897.858333 0.000000 
38 299.908333 2.091667 0.490333 0.010900 98820.325000 0.000000 
39 300.500000 2.008333 0.467917 0.010800 98738.608333 0.000000 
40 300.825000 1.541667 0.482500 0.011400 98669.375000 0.000000 
41 300.575000 1.133333 0.508750 0.011800 98660.400000 0.000000 
42 299.908333 1.925000 0.522000 0.011600 98676.600000 0.000000 
43 298.841667 1.633333 0.543167 0.011400 98739.791667 0.000000 
44 297.833333 1.141667 0.576167 0.011400 98773.816667 0.000000 
45 296.558333 2.475000 0.629417 0.011500 98796.841667 0.000000 
46 295.350000 2.875000 0.665167 0.011300 98848.291667 0.000000 
47 294.333333 3.175000 0.694583 0.011100 98853.166667 0.000000 
48 294.066667 3.108333 0.668583 0.010500 98869.516667 0.000015 
49 293.683333 2.550000 0.671500 0.010300 98865.683333 0.000019 
50 292.183333 3.233333 0.705000 0.009800 98891.600000 0.000002 
51 291.225000 3.208333 0.714417 0.009400 98909.033333 0.000000 
52 290.783333 2.833333 0.733333 0.009300 98921.491667 0.000000 
53 291.025000 2.433333 0.765250 0.009900 98943.766667 0.000000 
54 291.141667 2.125000 0.789083 0.010300 98978.608333 0.000004 
55 290.875000 1.641667 0.821250 0.010500 98997.366667 0.000022 
56 290.758333 1.233333 0.833167 0.010600 99012.733333 0.000114 
57 291.391667 1.383333 0.790917 0.010500 99011.250000 0.000016 
58 292.458333 1.491667 0.733833 0.010400 99000.733333 0.000021 
59 293.558333 1.958333 0.673083 0.010200 98978.533333 0.000022 
60 293.558333 2.641667 0.706500 0.010700 98942.225000 0.000002 
61 293.550000 3.341667 0.706333 0.010700 98899.958333 0.000000 
62 293.458333 3.033333 0.702333 0.010600 98870.733333 0.000000 
63 293.450000 3.000000 0.689167 0.010400 98826.691667 0.000000 
64 292.991667 2.908333 0.699917 0.010300 98799.983333 0.000000 
65 292.308333 2.533333 0.712917 0.010000 98793.683333 0.000000 
66 291.608333 2.591667 0.731417 0.009800 98836.933333 0.000000 
67 291.000000 2.416667 0.739417 0.009600 98878.208333 0.000000 
68 290.583333 2.308333 0.750083 0.009400 98900.850000 0.000000 
69 290.550000 2.300000 0.759250 0.009500 98857.133333 0.000002 
70 290.366667 2.391667 0.768250 0.009500 98840.075000 0.000002 
71 290.075000 2.400000 0.776333 0.009500 98865.575000 0.000006 
72 289.958333 2.583333 0.746750 0.009000 98886.150000 0.000005 
73 289.491667 2.600000 0.766917 0.009000 98874.233333 0.000003 
74 288.991667 2.600000 0.785500 0.008900 98880.700000 0.000012 
75 288.491667 2.508333 0.804417 0.008900 98887.083333 0.000017 
76 288.450000 2.591667 0.798667 0.008800 98924.175000 0.000020 
77 288.725000 2.508333 0.777833 0.008700 98958.666667 0.000042 
