#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Infiltration at roof and ground 
# 0:time [hr] 1:fRoofVeg [mm s^-1] 2:fGroundBare [mm s^-1] 3:fGroundVeg [mm s^-1] 4:fGroundImp [mm s^-1] 
0 nan nan 0.000000 0.000000 
1 nan nan 0.000000 0.000000 
2 nan nan 0.000000 0.000000 
3 nan nan 0.000000 0.000000 
4 nan nan 0.000000 0.000000 
5 nan nan 0.000000 0.000000 
6 nan nan 0.000000 0.000000 
7 nan nan 0.000000 0.000000 
8 nan nan 0.000000 0.000000 
9 nan nan 0.000000 0.000000 
10 nan nan 0.000000 0.000000 
11 nan nan 0.000000 0.000000 
12 nan nan 0.000000 0.000000 
13 nan nan 0.000000 0.000000 
14 nan nan 0.000000 0.000000 
15 nan nan 0.000000 0.000000 
16 nan nan 0.000000 0.000000 
17 nan nan 0.000000 0.000000 
18 nan nan 0.000000 0.000000 
19 nan nan 0.000000 0.000000 
20 nan nan 0.000000 0.000000 
21 nan nan 0.000000 0.000000 
22 nan nan 0.000000 0.000000 
23 nan nan 0.000000 0.000000 
24 nan nan 0.000000 0.000000 
25 nan nan 0.000000 0.000000 
26 nan nan 0.000000 0.000000 
27 nan nan 0.000000 0.000000 
28 nan nan 0.000000 0.000000 
29 nan nan 0.000000 0.000000 
30 nan nan 0.000000 0.000000 
31 nan nan 0.000000 0.000000 
32 nan nan 0.000000 0.000000 
33 nan nan 0.000000 0.000000 
34 nan nan 0.000000 0.000000 
35 nan nan 0.000000 0.000000 
36 nan nan 0.000000 0.000000 
37 nan nan 0.000000 0.000000 
38 nan nan 0.000000 0.000000 
39 nan nan 0.000000 0.000000 
40 nan nan 0.000000 0.000000 
41 nan nan 0.000000 0.000000 
42 nan nan 0.000000 0.000000 
43 nan nan 0.000000 0.000000 
44 nan nan 0.000000 0.000000 
45 nan nan 0.000000 0.000000 
46 nan nan 0.000000 0.000000 
47 nan nan 0.000000 0.000000 
48 nan nan 0.000003 0.000000 
49 nan nan 0.000004 0.000000 
50 nan nan 0.000002 0.000000 
51 nan nan 0.000000 0.000000 
52 nan nan 0.000000 0.000000 
53 nan nan 0.000000 0.000000 
