#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Soil water potential 
# 0:time [hr] 1:SoilPotWGroundTot_H [MPa] 2:SoilPotWGroundTot_L [MPa] 
0 -0.033128 -0.033328 
1 -0.033239 -0.033595 
2 -0.033339 -0.033825 
3 -0.033430 -0.034026 
4 -0.033525 -0.034223 
5 -0.033704 -0.034615 
6 -0.033938 -0.035120 
7 -0.034184 -0.035642 
8 -0.034490 -0.036299 
9 -0.034874 -0.037136 
10 -0.035400 -0.038303 
11 -0.036086 -0.039834 
12 -0.036822 -0.041472 
13 -0.037483 -0.042904 
14 -0.038138 -0.044340 
15 -0.038705 -0.045580 
16 -0.039059 -0.046228 
17 -0.039236 -0.046400 
18 -0.039355 -0.046443 
19 -0.039370 -0.046243 
20 -0.039376 -0.046051 
21 -0.039387 -0.045896 
22 -0.039401 -0.045761 
23 -0.039417 -0.045646 
24 -0.039435 -0.045547 
25 -0.039453 -0.045456 
26 -0.039472 -0.045373 
27 -0.039490 -0.045298 
28 -0.039517 -0.045246 
29 -0.039610 -0.045373 
30 -0.039789 -0.045731 
31 -0.040072 -0.046366 
32 -0.040475 -0.047311 
33 -0.040971 -0.048483 
34 -0.041492 -0.049694 
35 -0.042094 -0.051125 
36 -0.042791 -0.052820 
37 -0.043516 -0.054602 
38 -0.044212 -0.056313 
39 -0.044836 -0.057827 
40 -0.045278 -0.058765 
41 -0.045530 -0.059132 
42 -0.045619 -0.059044 
43 -0.045583 -0.058620 
44 -0.045511 -0.058128 
45 -0.045433 -0.057646 
46 -0.045351 -0.057175 
47 -0.045271 -0.056731 
48 -0.045195 -0.056319 
49 -0.045123 -0.055932 
50 -0.045053 -0.055567 
51 -0.044988 -0.055228 
52 -0.044971 -0.055034 
53 -0.045150 -0.055426 
54 -0.045440 -0.056123 
55 -0.045834 -0.057101 
56 -0.046315 -0.058295 
57 -0.046825 -0.059556 
58 -0.047343 -0.060833 
59 -0.047870 -0.062135 
60 -0.048401 -0.063449 
61 -0.048891 -0.064642 
62 -0.049360 -0.065776 
63 -0.049830 -0.066919 
64 -0.050265 -0.067939 
65 -0.050532 -0.068425 
66 -0.050606 -0.068328 
67 -0.050521 -0.067762 
68 -0.050419 -0.067180 
69 -0.050312 -0.066611 
70 -0.050202 -0.066050 
71 -0.050090 -0.065503 
72 -0.049985 -0.064993 
73 -0.049883 -0.064509 
74 -0.049782 -0.064043 
75 -0.049682 -0.063593 
76 -0.049595 -0.063189 
77 -0.049754 -0.063551 
78 -0.050035 -0.064248 
79 -0.050469 -0.065368 
80 -0.051079 -0.066988 
81 -0.051843 -0.069055 
82 -0.052740 -0.071523 
83 -0.053783 -0.074475 
84 -0.054956 -0.077870 
85 -0.056202 -0.081548 
86 -0.057371 -0.085038 
87 -0.058161 -0.087240 
88 -0.058741 -0.088685 
89 -0.059018 -0.089065 
90 -0.059085 -0.088801 
91 -0.058984 -0.088035 
92 -0.058844 -0.087175 
93 -0.058703 -0.086340 
94 -0.058560 -0.085526 
95 -0.058423 -0.084759 
96 -0.058325 -0.084155 
97 -0.058228 -0.083568 
98 -0.058130 -0.082995 
99 -0.058039 -0.082460 
100 -0.058009 -0.082135 
101 -0.058130 -0.082333 
102 -0.058381 -0.082925 
103 -0.058841 -0.084168 
104 -0.059501 -0.086037 
105 -0.060387 -0.088662 
106 -0.061474 -0.092020 
107 -0.062688 -0.095898 
108 -0.064010 -0.100232 
109 -0.065441 -0.105058 
110 -0.066811 -0.109788 
111 -0.067922 -0.113566 
112 -0.068620 -0.115619 
113 -0.068955 -0.116255 
114 -0.069050 -0.116040 
115 -0.068914 -0.114997 
116 -0.068718 -0.113771 
117 -0.068517 -0.112558 
118 -0.068318 -0.111383 
119 -0.068122 -0.110244 
120 -0.067927 -0.109135 
121 -0.067732 -0.108051 
122 -0.067538 -0.106993 
123 -0.067346 -0.105964 
124 -0.067198 -0.105119 
125 -0.067370 -0.105543 
126 -0.067684 -0.106447 
127 -0.068236 -0.108178 
128 -0.069086 -0.111011 
129 -0.070246 -0.115076 
130 -0.071747 -0.120588 
131 -0.073449 -0.127105 
132 -0.075272 -0.134335 
133 -0.077242 -0.142410 
134 -0.079112 -0.150344 
135 -0.080720 -0.157331 
136 -0.081813 -0.161729 
137 -0.082306 -0.163118 
138 -0.082404 -0.162775 
139 -0.082198 -0.161109 
140 -0.081936 -0.159259 
141 -0.081680 -0.157476 
142 -0.081457 -0.155898 
143 -0.081256 -0.154469 
144 -0.081069 -0.153132 
145 -0.080885 -0.151835 
146 -0.080700 -0.150548 
147 -0.080513 -0.149272 
148 -0.080441 -0.148526 
149 -0.080644 -0.149077 
150 -0.081000 -0.150230 
