#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Soil water potential 
# 0:time [hr] 1:SoilPotWGroundTot_H [MPa] 2:SoilPotWGroundTot_L [MPa] 
0 -0.033123 -0.033311 
1 -0.033251 -0.033614 
2 -0.033372 -0.033887 
3 -0.033486 -0.034137 
4 -0.033616 -0.034400 
5 -0.033768 -0.034694 
6 -0.033958 -0.035062 
7 -0.034178 -0.035483 
8 -0.034430 -0.035963 
9 -0.034721 -0.036518 
10 -0.035245 -0.037621 
11 -0.035963 -0.039179 
12 -0.036441 -0.040116 
13 -0.036765 -0.040676 
14 -0.037094 -0.041253 
15 -0.037376 -0.041727 
16 -0.037617 -0.042110 
17 -0.037805 -0.042379 
18 -0.037920 -0.042514 
19 -0.037972 -0.042532 
20 -0.038015 -0.042541 
21 -0.038057 -0.042552 
22 -0.038096 -0.042565 
23 -0.038133 -0.042576 
24 -0.038168 -0.042587 
25 -0.038198 -0.042590 
26 -0.038223 -0.042586 
27 -0.038245 -0.042576 
28 -0.038287 -0.042603 
29 -0.038357 -0.042680 
30 -0.038471 -0.042863 
31 -0.038634 -0.043152 
32 -0.038825 -0.043496 
33 -0.038968 -0.043669 
34 -0.039432 -0.044668 
35 -0.040163 -0.046367 
36 -0.040644 -0.047376 
37 -0.040961 -0.047954 
38 -0.041253 -0.048467 
39 -0.041512 -0.048899 
40 -0.041741 -0.049260 
41 -0.041907 -0.049476 
42 -0.041972 -0.049480 
43 -0.041895 -0.049142 
44 -0.041853 -0.048938 
45 -0.041839 -0.048826 
46 -0.041829 -0.048727 
47 -0.041819 -0.048636 
48 -0.041787 -0.048462 
49 -0.041732 -0.048227 
50 -0.041685 -0.048039 
51 -0.041686 -0.048021 
52 -0.041726 -0.048071 
53 -0.041811 -0.048208 
54 -0.041924 -0.048390 
55 -0.042044 -0.048571 
56 -0.042080 -0.048487 
57 -0.042008 -0.048163 
58 -0.042088 -0.048306 
59 -0.042351 -0.048881 
60 -0.042554 -0.049251 
61 -0.042729 -0.049582 
62 -0.042908 -0.049919 
63 -0.043096 -0.050283 
64 -0.043258 -0.050582 
65 -0.043373 -0.050769 
66 -0.043424 -0.050815 
67 -0.043416 -0.050747 
68 -0.043390 -0.050648 
69 -0.043356 -0.050508 
70 -0.043311 -0.050340 
71 -0.043263 -0.050169 
72 -0.043213 -0.049996 
73 -0.043170 -0.049852 
74 -0.043122 -0.049693 
75 -0.043061 -0.049493 
76 -0.043007 -0.049312 
77 -0.042961 -0.049123 
78 -0.042911 -0.048921 
79 -0.042885 -0.048801 
80 -0.042897 -0.048776 
81 -0.042955 -0.048853 
82 -0.043187 -0.049383 
83 -0.043609 -0.050425 
84 -0.043859 -0.050948 
85 -0.044070 -0.051369 
86 -0.044289 -0.051821 
87 -0.044484 -0.052191 
88 -0.044597 -0.052350 
89 -0.044630 -0.052295 
90 -0.044573 -0.052040 
91 -0.044475 -0.051729 
92 -0.044389 -0.051472 
93 -0.044311 -0.051257 
94 -0.044255 -0.051117 
95 -0.044205 -0.050981 
96 -0.044144 -0.050803 
97 -0.044065 -0.050574 
98 -0.043970 -0.050303 
99 -0.043844 -0.049934 
100 -0.043446 -0.048471 
101 -0.038672 -0.033194 
102 -0.035409 -0.031049 
103 -0.032825 -0.029164 
104 -0.032124 -0.027676 
105 -0.031712 -0.027140 
106 -0.031644 -0.027445 
107 -0.031458 -0.027219 
108 -0.030769 -0.025518 
109 -0.029844 -0.023708 
110 -0.029396 -0.023349 
111 -0.029270 -0.023686 
112 -0.029328 -0.024321 
113 -0.029463 -0.024984 
114 -0.029593 -0.025532 
115 -0.029723 -0.026017 
116 -0.029836 -0.026415 
117 -0.029938 -0.026754 
118 -0.030030 -0.027050 
119 -0.030117 -0.027320 
120 -0.030199 -0.027569 
121 -0.030277 -0.027798 
122 -0.030352 -0.028010 
123 -0.030424 -0.028210 
124 -0.030495 -0.028399 
125 -0.030564 -0.028572 
126 -0.030629 -0.028733 
127 -0.030697 -0.028892 
128 -0.030760 -0.029037 
129 -0.030825 -0.029184 
130 -0.030915 -0.029380 
131 -0.031028 -0.029620 
132 -0.031131 -0.029834 
133 -0.031224 -0.030022 
134 -0.031317 -0.030209 
135 -0.031411 -0.030397 
136 -0.031495 -0.030561 
137 -0.031568 -0.030701 
138 -0.031625 -0.030810 
139 -0.031666 -0.030886 
140 -0.031708 -0.030967 
141 -0.031751 -0.031050 
142 -0.031793 -0.031130 
143 -0.031833 -0.031207 
144 -0.031871 -0.031278 
145 -0.031908 -0.031347 
146 -0.031945 -0.031415 
147 -0.031980 -0.031480 
148 -0.032017 -0.031547 
149 -0.032061 -0.031626 
150 -0.032113 -0.031722 
151 -0.032174 -0.031835 
152 -0.032239 -0.031955 
153 -0.032310 -0.032081 
154 -0.032414 -0.032281 
155 -0.032554 -0.032557 
156 -0.032659 -0.032742 
157 -0.032743 -0.032876 
158 -0.032821 -0.032997 
159 -0.032895 -0.033428 
160 -0.032961 -0.033799 
161 -0.033067 -0.034095 
162 -0.033235 -0.034301 
163 -0.033359 -0.034443 
164 -0.033477 -0.034578 
165 -0.033590 -0.034708 
166 -0.033700 -0.034832 
167 -0.033805 -0.034945 
168 -0.033906 -0.035050 
169 -0.034009 -0.035161 
170 -0.034117 -0.035276 
171 -0.034222 -0.035390 
172 -0.034337 -0.035524 
173 -0.034483 -0.035718 
174 -0.034665 -0.035986 
175 -0.034878 -0.036315 
176 -0.035122 -0.036699 
177 -0.035347 -0.036993 
178 -0.035764 -0.037734 
179 -0.036400 -0.038997 
180 -0.036834 -0.039753 
181 -0.037151 -0.040242 
182 -0.037459 -0.040712 
183 -0.037747 -0.041140 
184 -0.038004 -0.041504 
185 -0.038212 -0.041770 
186 -0.038352 -0.041913 
187 -0.038441 -0.041976 
188 -0.038520 -0.042025 
189 -0.038597 -0.042078 
