#### 	 Vertical City Weather Generator (VCWG)  	 #### 
# Transpiration from low and high vegetation 
# 0:time [hr] 1:TEgveg_imp [kg m^-2 s^-1] 2:TEtree_imp [kg m^-2 s^-1] 3:TEgveg_bare [kg m^-2 s^-1] 4:TEtree_bare [kg m^-2 s^-1] 5:TEgveg_veg [kg m^-2 s^-1] 6:TEtree_veg [kg m^-2 s^-1]
0 0.000000 0.000005 nan nan 0.000013 0.000005 
1 0.000000 0.000005 nan nan 0.000013 0.000005 
2 0.000000 0.000004 nan nan 0.000013 0.000004 
3 0.000000 0.000004 nan nan 0.000013 0.000004 
4 0.000000 0.000014 nan nan 0.000012 0.000014 
5 0.000000 0.000020 nan nan 0.000014 0.000020 
6 0.000000 0.000024 nan nan 0.000017 0.000024 
7 0.000000 0.000029 nan nan 0.000019 0.000029 
8 0.000000 0.000034 nan nan 0.000021 0.000034 
9 0.000000 0.000047 nan nan 0.000025 0.000047 
10 0.000000 0.000057 nan nan 0.000061 0.000057 
11 0.000000 0.000063 nan nan 0.000068 0.000063 
12 0.000000 0.000046 nan nan 0.000025 0.000046 
13 0.000000 0.000046 nan nan 0.000024 0.000046 
14 0.000000 0.000052 nan nan 0.000025 0.000052 
15 0.000000 0.000039 nan nan 0.000021 0.000039 
16 0.000000 0.000037 nan nan 0.000019 0.000037 
17 0.000000 0.000029 nan nan 0.000015 0.000029 
18 0.000000 0.000012 nan nan 0.000015 0.000012 
19 0.000000 0.000006 nan nan 0.000013 0.000006 
20 0.000000 0.000006 nan nan 0.000013 0.000006 
21 0.000000 0.000005 nan nan 0.000013 0.000005 
22 0.000000 0.000005 nan nan 0.000013 0.000005 
23 0.000000 0.000005 nan nan 0.000013 0.000005 
24 0.000000 0.000004 nan nan 0.000012 0.000004 
25 0.000000 0.000004 nan nan 0.000012 0.000004 
26 0.000000 0.000003 nan nan 0.000011 0.000003 
27 0.000000 0.000003 nan nan 0.000010 0.000003 
28 0.000000 0.000015 nan nan 0.000011 0.000015 
29 0.000000 0.000016 nan nan 0.000012 0.000016 
30 0.000000 0.000024 nan nan 0.000016 0.000024 
31 0.000000 0.000029 nan nan 0.000018 0.000029 
32 0.000000 0.000035 nan nan 0.000017 0.000035 
33 0.000000 0.000043 nan nan 0.000003 0.000043 
34 0.000000 0.000068 nan nan 0.000060 0.000068 
35 0.000000 0.000066 nan nan 0.000067 0.000066 
36 0.000000 0.000050 nan nan 0.000027 0.000050 
37 0.000000 0.000050 nan nan 0.000024 0.000050 
38 0.000000 0.000049 nan nan 0.000021 0.000049 
39 0.000000 0.000047 nan nan 0.000019 0.000047 
40 0.000000 0.000042 nan nan 0.000016 0.000042 
41 0.000000 0.000031 nan nan 0.000012 0.000031 
42 0.000000 0.000012 nan nan 0.000001 0.000012 
43 0.000000 0.000006 nan nan 0.000001 0.000006 
44 0.000000 0.000006 nan nan 0.000011 0.000006 
45 0.000000 0.000006 nan nan 0.000011 0.000006 
46 0.000000 0.000005 nan nan 0.000011 0.000005 
47 0.000000 0.000005 nan nan 0.000011 0.000005 
48 0.000000 0.000005 nan nan 0.000010 0.000005 
49 0.000000 0.000004 nan nan 0.000009 0.000004 
50 0.000000 0.000004 nan nan 0.000011 0.000004 
51 0.000000 0.000005 nan nan 0.000012 0.000005 
52 0.000000 0.000017 nan nan 0.000012 0.000017 
53 0.000000 0.000023 nan nan 0.000015 0.000023 
54 0.000000 0.000024 nan nan 0.000017 0.000024 
55 0.000000 0.000024 nan nan 0.000019 0.000024 
56 0.000000 0.000014 nan nan 0.000015 0.000014 
57 0.000000 0.000011 nan nan 0.000016 0.000011 
58 0.000000 0.000025 nan nan 0.000046 0.000025 
59 0.000000 0.000038 nan nan 0.000062 0.000038 
60 0.000000 0.000036 nan nan 0.000027 0.000036 
61 0.000000 0.000036 nan nan 0.000024 0.000036 
62 0.000000 0.000035 nan nan 0.000020 0.000035 
63 0.000000 0.000034 nan nan 0.000018 0.000034 
64 0.000000 0.000030 nan nan 0.000015 0.000030 
65 0.000000 0.000024 nan nan 0.000012 0.000024 
66 0.000000 0.000012 nan nan 0.000011 0.000012 
67 0.000000 0.000004 nan nan 0.000010 0.000004 
68 0.000000 0.000004 nan nan 0.000010 0.000004 
69 0.000000 0.000004 nan nan 0.000010 0.000004 
70 0.000000 0.000004 nan nan 0.000010 0.000004 
71 0.000000 0.000004 nan nan 0.000009 0.000004 
72 0.000000 0.000004 nan nan 0.000009 0.000004 
73 0.000000 0.000004 nan nan 0.000010 0.000004 
74 0.000000 0.000003 nan nan 0.000009 0.000003 
75 0.000000 0.000003 nan nan 0.000009 0.000003 
76 0.000000 0.000007 nan nan 0.000008 0.000007 
77 0.000000 0.000009 nan nan 0.000007 0.000009 
78 0.000000 0.000010 nan nan 0.000008 0.000010 
79 0.000000 0.000014 nan nan 0.000014 0.000014 
80 0.000000 0.000020 nan nan 0.000018 0.000020 
81 0.000000 0.000027 nan nan 0.000020 0.000027 
82 0.000000 0.000035 nan nan 0.000054 0.000035 
83 0.000000 0.000037 nan nan 0.000053 0.000037 
84 0.000000 0.000034 nan nan 0.000025 0.000034 
85 0.000000 0.000035 nan nan 0.000024 0.000035 
86 0.000000 0.000034 nan nan 0.000022 0.000034 
87 0.000000 0.000036 nan nan 0.000019 0.000036 
88 0.000000 0.000021 nan nan 0.000012 0.000021 
89 0.000000 0.000019 nan nan 0.000009 0.000019 
90 0.000000 0.000006 nan nan 0.000008 0.000006 
91 0.000000 0.000003 nan nan 0.000009 0.000003 
92 0.000000 0.000004 nan nan 0.000009 0.000004 
93 0.000000 0.000003 nan nan 0.000008 0.000003 
94 0.000000 0.000003 nan nan 0.000008 0.000003 
95 0.000000 0.000003 nan nan 0.000008 0.000003 
96 0.000000 0.000003 nan nan 0.000007 0.000003 
97 0.000000 0.000002 nan nan 0.000006 0.000002 
98 0.000000 0.000002 nan nan 0.000005 0.000002 
99 0.000000 0.000001 nan nan 0.000005 0.000001 
100 0.000000 0.000000 nan nan 0.000001 0.000000 
101 0.000000 0.000000 nan nan 0.000000 0.000000 
102 0.000000 0.000000 nan nan 0.000000 0.000000 
103 0.000000 0.000000 nan nan 0.000000 0.000000 
104 0.000000 0.000000 nan nan 0.000000 0.000000 
105 0.000000 0.000000 nan nan 0.000000 0.000000 
106 0.000000 0.000000 nan nan 0.000000 0.000000 
107 0.000000 0.000000 nan nan 0.000000 0.000000 
108 0.000000 0.000000 nan nan 0.000000 0.000000 
109 0.000000 0.000000 nan nan 0.000000 0.000000 
110 0.000000 0.000000 nan nan 0.000000 0.000000 
111 0.000000 0.000000 nan nan 0.000000 0.000000 
112 0.000000 0.000000 nan nan 0.000000 0.000000 
113 0.000000 0.000000 nan nan 0.000000 0.000000 
114 0.000000 0.000001 nan nan 0.000000 0.000001 
115 0.000000 0.000001 nan nan 0.000001 0.000001 
116 0.000000 0.000001 nan nan 0.000001 0.000001 
117 0.000000 0.000002 nan nan 0.000001 0.000002 
118 0.000000 0.000001 nan nan 0.000002 0.000001 
119 0.000000 0.000002 nan nan 0.000002 0.000002 
120 0.000000 0.000002 nan nan 0.000003 0.000002 
121 0.000000 0.000002 nan nan 0.000004 0.000002 
122 0.000000 0.000001 nan nan 0.000004 0.000001 
123 0.000000 0.000002 nan nan 0.000006 0.000002 
124 0.000000 0.000005 nan nan 0.000007 0.000005 
125 0.000000 0.000007 nan nan 0.000008 0.000007 
126 0.000000 0.000008 nan nan 0.000010 0.000008 
127 0.000000 0.000013 nan nan 0.000013 0.000013 
128 0.000000 0.000010 nan nan 0.000011 0.000010 
129 0.000000 0.000017 nan nan 0.000012 0.000017 
130 0.000000 0.000036 nan nan 0.000039 0.000036 
131 0.000000 0.000034 nan nan 0.000053 0.000034 
132 0.000000 0.000032 nan nan 0.000027 0.000032 
133 0.000000 0.000034 nan nan 0.000026 0.000034 
134 0.000000 0.000034 nan nan 0.000023 0.000034 
135 0.000000 0.000031 nan nan 0.000019 0.000031 
136 0.000000 0.000026 nan nan 0.000015 0.000026 
137 0.000000 0.000021 nan nan 0.000011 0.000021 
138 0.000000 0.000007 nan nan 0.000008 0.000007 
139 0.000000 0.000003 nan nan 0.000007 0.000003 
140 0.000000 0.000003 nan nan 0.000007 0.000003 
141 0.000000 0.000003 nan nan 0.000008 0.000003 
142 0.000000 0.000003 nan nan 0.000007 0.000003 
143 0.000000 0.000003 nan nan 0.000007 0.000003 
144 0.000000 0.000002 nan nan 0.000007 0.000002 
145 0.000000 0.000002 nan nan 0.000006 0.000002 
146 0.000000 0.000002 nan nan 0.000006 0.000002 
147 0.000000 0.000002 nan nan 0.000006 0.000002 
148 0.000000 0.000006 nan nan 0.000006 0.000006 
149 0.000000 0.000012 nan nan 0.000009 0.000012 
150 0.000000 0.000016 nan nan 0.000012 0.000016 
151 0.000000 0.000023 nan nan 0.000014 0.000023 
152 0.000000 0.000026 nan nan 0.000015 0.000026 
153 0.000000 0.000032 nan nan 0.000014 0.000032 
154 0.000000 0.000047 nan nan 0.000041 0.000047 
155 0.000000 0.000048 nan nan 0.000048 0.000048 
156 0.000000 0.000038 nan nan 0.000022 0.000038 
157 0.000000 0.000038 nan nan 0.000019 0.000038 
158 0.000000 0.000037 nan nan 0.000018 0.000037 
159 0.000000 0.000034 nan nan 0.000016 0.000034 
160 0.000000 0.000029 nan nan 0.000013 0.000029 
161 0.000000 0.000024 nan nan 0.000010 0.000024 
162 0.000000 0.000010 nan nan 0.000008 0.000010 
163 0.000000 0.000004 nan nan 0.000008 0.000004 
164 0.000000 0.000004 nan nan 0.000008 0.000004 
165 0.000000 0.000004 nan nan 0.000007 0.000004 
166 0.000000 0.000004 nan nan 0.000007 0.000004 
167 0.000000 0.000003 nan nan 0.000007 0.000003 
168 0.000000 0.000003 nan nan 0.000007 0.000003 
169 0.000000 0.000003 nan nan 0.000007 0.000003 
170 0.000000 0.000003 nan nan 0.000006 0.000003 
171 0.000000 0.000002 nan nan 0.000006 0.000002 
172 0.000000 0.000008 nan nan 0.000006 0.000008 
173 0.000000 0.000015 nan nan 0.000008 0.000015 
174 0.000000 0.000020 nan nan 0.000011 0.000020 
175 0.000000 0.000025 nan nan 0.000013 0.000025 
176 0.000000 0.000035 nan nan 0.000014 0.000035 
177 0.000000 0.000036 nan nan 0.000002 0.000036 
178 0.000000 0.000057 nan nan 0.000044 0.000057 
179 0.000000 0.000056 nan nan 0.000053 0.000056 
180 0.000000 0.000040 nan nan 0.000020 0.000040 
181 0.000000 0.000041 nan nan 0.000019 0.000041 
182 0.000000 0.000040 nan nan 0.000017 0.000040 
183 0.000000 0.000039 nan nan 0.000015 0.000039 
184 0.000000 0.000034 nan nan 0.000012 0.000034 
185 0.000000 0.000026 nan nan 0.000010 0.000026 
186 0.000000 0.000010 nan nan 0.000009 0.000010 
187 0.000000 0.000005 nan nan 0.000008 0.000005 
188 0.000000 0.000005 nan nan 0.000008 0.000005 
189 0.000000 0.000005 nan nan 0.000008 0.000005 
