3,UWG,Location Summary,,,,,,,,,,,,,,,,,,
BLD,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Basel
BLD1PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD1PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD1PRE,RvalWall,,R-value (m2·K / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217
BLD1PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD1PRE,RvalRoof,,R-value (m2·K / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375
BLD1PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD1PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD1PRE,HVAC,,Air Conditioning (kW),126.28865,130.17452,135.63213,131.72002,114.98041,135.33043,81.21613,122.35382,113.72517,94.6671,114.4349,103.75835,113.96454,84.57841,108.91611,93.26762,94.6671
BLD1PRE,HEAT,,Heating (kW),174.49709,224.26709,199.52907,239.67372,167.70561,210.76775,169.66491,251.19492,214.02584,206.35546,282.76925,235.95249,310.10678,288.85065,316.88504,446.73231,206.35546
BLD1PRE,COP,,Air Conditioning (COP),3.28237979,3.282454012,3.283151023,3.282344612,3.27883371,3.282938905,3.362815208,3.280502701,3.28776707,3.309704256,3.28654303,3.288337738,3.294103634,3.345527032,3.302152987,3.354954785,3.309704256
BLD1PRE,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD1PRE,Fan,,Fan Max Flow Rate (m3/s ),6.98,7.13,7.36,7.2,6.55,7.34,6.11,6.82,7.31,6.36,6.5,6.77,6.48,6.62,6.27,7.53,6.36
BLD1PST,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD1PST,RvalWall,,R-value (m2·K / W),0.32,1.17370892,0.733675715,1.35501355,0.800640512,1.101321586,1.35501355,1.98019802,1.76056338,1.915708812,2.145922747,2.145922747,2.7100271,2.444987775,3.039513678,3.90625,1.915708812
BLD1PST,TypeRoof,,Construction Type,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic
BLD1PST,RvalRoof,,R-value attic floor (m2·K / W),2.379977723,2.668459872,3.828659816,2.446088216,1.761183515,3.669132324,2.001344904,3.036523302,2.985056806,2.751849243,3.322987765,3.45330101,3.913741145,3.594252072,4.402958788,5.681237146,2.751849243
BLD1PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092
BLD1PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392
BLD1PST,HVAC,,Air Conditioning (kW),119.73878,106.52397,106.51128,107.40095,107.42058,104.22481,68.72879,98.11996,90.76868,77.38652,97.47471,85.16573,94.6949,69.38042,89.32949,56.64149,77.38652
BLD1PST,HEAT,,Heating (kW),169.54883,198.55562,169.93504,213.71448,159.23701,178.70985,154.63857,224.15642,194.42516,187.59274,258.79504,222.61245,274.94197,258.15704,272.38272,332.45826,187.59274
BLD1PST,COP,,Air Conditioning (COP),3.289233291,3.28547401,3.286684236,3.286193316,3.279318242,3.284990649,3.360271009,3.284668831,3.316255845,3.362484857,3.284382414,3.368830619,3.318452755,3.373326858,3.31535896,3.375643347,3.362484857
BLD1PST,EffHeat,,Heating Efficiency (%),0.784831073,0.784537446,0.784570011,0.784644439,0.783996133,0.784459538,0.783636992,0.784381123,0.78479257,0.784006729,0.784380802,0.784754726,0.784320903,0.784543658,0.784064081,0.78,0.784006729
BLD1PST,Fan,,Fan Max Flow Rate (m3/s ),6.71,6.18,6.18,6.21,6.22,6.08,5.52,5.84,6.44,5.63,5.81,6.22,5.71,5.93,5.49,5.31,5.63
BLD1NEW,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
