3,,Location Summary,,,,,,,,,,,,,,,,,,
Building,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Basel
BLD11PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD11PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD11PRE,RvalWall,,R-value (m2·K / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217
BLD11PRE,TypeRoof,,Construction Type,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic
BLD11PRE,RvalRoof,,R-value attic floor (m2·K / W),1.76056338,1.76056338,1.76056338,1.76056338,1.76056338,1.76056338,1.76056338,2.049180328,1.98019802,2.070393375,2.5,2.369668246,2.994011976,2.994011976,2.93255132,2.994011976,2.070393375
BLD11PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD11PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD11PRE,HVAC,,Air Conditioning (kW),327.32835,335.47194,350.41782,330.9295,288.25347,343.81248,286.75526,320.92091,326.68089,297.42575,305.67048,303.38522,298.47169,289.8795,274.35767,260.02586,297.42575
BLD11PRE,HEAT,,Heating (kW),119.41919,195.37153,153.1418,228.80771,130.74597,182.61769,153.8575,249.64062,208.05336,199.62616,299.38075,253.75903,328.75155,310.7575,341.75419,443.10586,199.62616
BLD11PRE,COP,,Air Conditioning (COP),3.219030574,3.217590033,3.217121308,3.220419914,3.232670494,3.216915871,3.232939917,3.224913584,3.218413334,3.233791696,3.229730531,3.2259967,3.233048409,3.232842715,3.235474912,3.2355012,3.233791696
BLD11PRE,EffHeat,,CORRIDORFLR1 PTAC HEAT COIL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLD11PRE,Fan,,Fan Max Flow Rate (m3/s ),17.72,18.64,20.22,19.44,17.07,20.44,17.58,18.53,20.24,18.25,17.75,19.05,17.81,18.65,17.09,17.36,18.25
BLD11PST,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD11PST,RvalWall,,R-value (m2·K / W),0.32,1.17370892,0.733675715,1.35501355,0.800640512,1.101321586,1.35501355,1.98019802,1.76056338,1.915708812,2.145922747,2.145922747,2.7100271,2.444987775,3.039513678,3.90625,1.915708812
BLD11PST,TypeRoof,,Construction Type,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic,Attic
BLD11PST,RvalRoof,,R-value attic floor (m2·K / W),2.380952381,2.666666667,3.831417625,2.444987775,1.76056338,3.663003663,2,3.039513678,2.985074627,2.754820937,3.378378378,3.50877193,3.968253968,3.649635036,4.405286344,5.747126437,2.754820937
BLD11PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092
BLD11PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392
BLD11PST,HVAC,,Air Conditioning (kW),353.84069,316.24621,332.2653,305.70787,285.69453,309.2,260.1402,295.1934,297.35612,267.6579,294.74532,288.94594,283.71055,274.08077,264.84645,257.62612,267.6579
BLD11PST,HEAT,,Heating (kW),298.18399,269.90287,246.73194,288.68908,268.33243,254.32874,269.30403,299.95586,261.47553,259.89507,350.6096,300.50797,369.79383,350.94033,372.90515,452.52819,259.89507
BLD11PST,COP,,Air Conditioning (COP),3.050056909,3.063508814,3.045346573,3.070985616,3.065723578,3.050437245,3.048478288,3.07306343,3.061355616,3.06389841,3.073351704,3.066932767,3.081197258,3.061244437,3.078643207,3.036520617,3.06389841
