3,,Location Summary,,,,,,,,,,,,,,,,,,
BLD,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Basel
BLD14PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD14PRE,TypeWall,,Construction Type,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame,Steel-frame
BLD14PRE,RvalWall,,R-value (m2·K / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217
BLD14PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD14PRE,RvalRoof,,R-value (m2·K / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375
BLD14PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD14PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD14PRE,HVAC,,Air Conditioning (kW),350.42294,367.7293,362.34401,359.03684,254.77243,307.74228,193.93094,338.95771,237.81985,216.98922,350.02315,251.38202,391.40829,286.07776,404.94904,383.71051,216.98922
BLD14PRE,HEAT,,Heating (kW),128.88174,266.7039,202.92477,323.72571,156.93277,254.32309,201.09673,371.34523,300.88211,285.52514,474.62915,391.99931,534.23253,501.94349,562.42576,765.21771,285.52514
BLD14PRE,COP,,Air Conditioning (COP),3.414784875,3.415388949,3.415689981,3.416747594,3.458897617,3.428973126,3.548915883,3.431084158,3.53396072,3.551995752,3.409748381,3.489519223,3.396461067,3.430857827,3.409612484,3.394812289,3.551995752
