3,,Location Summary,,,,,,,,,,,,,,,,,,
BLD,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Custom
BLD16PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD16PRE,TypeWall,,Construction Type,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall
BLD16PRE,RvalWall,,R-value (m2·K / W),0.574052813,0.574052813,0.574052813,0.591366056,0.574052813,0.574052813,0.594530321,0.798084597,0.765696784,0.814995925,0.937207123,0.902527076,1.023541453,1.023541453,1.103752759,1.218026797,0.814995925
BLD16PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD16PRE,RvalRoof,,R-value (m2·K / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375
BLD16PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD16PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD16PRE,HVAC,,Air Conditioning (kW),105.87319,158.88481,161.85922,195.50527,90.13032,136.96515,91.68396,211.51315,181.00608,129.74168,277.33088,249.87104,311.90592,263.85005,332.90351,295.46895,129.74168
BLD16PRE,HEAT,,Heating (kW),137.84896,303.087,174.54274,404.07302,151.59293,276.58704,178.9506,476.10766,384.00587,312.70427,667.22728,541.82594,772.04952,737.97077,824.16669,1172.58359,312.70427
BLD16PRE,COP,,Air Conditioning (COP),3.299488464,3.285985188,3.280550446,3.280073776,3.288240827,3.280455457,3.287983677,3.278442367,3.276137065,3.279258296,3.158603168,3.26896557,3.157261176,3.156511613,3.155565259,3.158146201,3.279258296
BLD16PRE,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD16PRE,Fan,,Fan Max Flow Rate (m3/s ),5.14,9.07,7.71,12.22,4.7,9.03,5.67,13.72,13.59,9.35,19.19,18.75,22.24,23.83,24.18,32.89,9.35
BLD16PST,TypeWall,,Construction Type,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall,Metal building wall
BLD16PST,RvalWall,,R-value (m2·K / W),0.229095074,0.982318271,0.542299349,1.162790698,0.609013398,0.909090909,1.162790698,1.788908766,1.569858713,1.724137931,1.956947162,1.956947162,2.518891688,2.252252252,2.849002849,3.717472119,1.724137931
BLD16PST,TypeRoof,,Construction Type,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof,Metal building roof
BLD16PST,RvalRoof,,R-value (m2·K / W),2.375296912,2.666666667,3.831417625,2.444987775,1.757469244,3.663003663,1.996007984,3.03030303,2.985074627,2.747252747,3.378378378,3.50877193,3.968253968,3.649635036,4.405286344,5.747126437,2.747252747
