3,UWG,Location Summary,,,,,,,,,,,,,,,,,,
BLD,UWG,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Custom
BLD2PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD2PRE,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD2PRE,RvalWall,,R-value (m2·K / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217
BLD2PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD2PRE,RvalRoof,,R-value (m2·K / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375
BLD2PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD2PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD2PRE,HVAC,,COOLSYS1 CHILLER,3415.75743,3397.93237,3123.5546,3196.81531,2658.57691,2763.86523,2284.63012,3213.13191,2303.17651,2402.41924,3061.09164,2184.88803,2948.62608,2079.52295,2572.81967,2020.06319,2402.41924
BLD2PRE,HEAT,,HEATSYS1 BOILER,3494.7069,3682.04953,3665.56219,3703.94106,3375.95727,3602.64545,3348.37463,3807.02374,3350.77445,3580.50996,3779.91484,3301.4912,3865.98184,3569.03029,3785.18251,4162.83177,3580.50996
BLD2PRE,COP,,Air Conditioning (COP),5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54
BLD2PRE,EffHeat,,Heating Efficiency (%),0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
BLD2PRE,Fan,,Fan Max Flow Rate (m3/s ),114.14,115.49,120.79,117.24,109.28,120.97,105.33,113.02,121.84,109.38,107.36,113.96,106.18,109.45,103.22,98.59,109.38
BLD2PST,TypeWall,,Construction Type,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall,MassWall
BLD2PST,RvalWall,,R-value (m2·K / W),2.377,0.51786639,0.429553265,0.607164542,0.420698359,0.607164542,0.420698359,1.468428781,0.926784059,1.76056338,1.76056338,1.257861635,2.481389578,2.227171492,2.89017341,3.745318352,1.76056338
BLD2PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
