3,UWG,Location Summary,,,,,,,,,,,,,,,,,,
UWG,City,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Custom
BLD5PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD5PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,BaselWall
BLD5PRE,RvalWall,,R-value (m2úK / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217
BLD5PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,BaselRoof
BLD5PRE,RvalRoof,,R-value (m2úK / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375
BLD5PRE,Uwindow,,U-Factor (W / m2úK),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD5PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD5PRE,HVAC,,Air Conditioning (kW),566.02606,571.22042,588.98167,563.9785,474.81909,551.14235,445.29345,547.99711,511.61819,476.0899,501.71083,444.02088,505.58214,450.66668,465.48841,480.98342,476.0899
BLD5PRE,HEAT,,Heating (kW),707.22978,766.84041,775.95958,782.60809,686.38597,763.12552,684.48182,794.6951,684.70102,743.3668,734.5309,636.09683,765.92177,711.60942,757.76333,911.02719,743.3668
BLD5PRE,COP,,Air Conditioning (COP),3.264670765,3.282478206,3.287208344,3.283644694,3.321232946,3.304272015,3.327129235,3.285401981,3.30515629,3.32640801,3.280682266,3.317406194,3.285559576,3.321910125,3.324208153,3.328540309,3.32640801
BLD5PRE,EffHeat,,PSZ_1:1_HEATC,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD5PRE,Fan,,Fan Max Flow Rate (m3/s ),28.47,29.33,31.94,30.33,27.42,31.9,26.63,29.1,30.91,28.3,25.32,26.7,26.04,27.18,25.87,29.06,28.3
BLD5PST,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,BaselWall
BLD5PST,RvalWall,,R-value (m2úK / W),0.32,1.17370892,0.733675715,1.35501355,0.800640512,1.101321586,1.35501355,1.98019802,1.76056338,1.915708812,2.145922747,2.145922747,2.7100271,2.444987775,3.039513678,3.90625,1.915708812
BLD5PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,BaselRoof
BLD5PST,RvalRoof,,R-value (m2úK / W),2.375296912,2.666666667,3.831417625,2.444987775,1.757469244,3.663003663,1.996007984,3.03030303,2.985074627,2.747252747,3.378378378,3.50877193,3.968253968,3.649635036,4.405286344,5.747126437,2.747252747
BLD5PST,Uwindow,,U-Factor (W / m2úK),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092
BLD5PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392
BLD5PST,HVAC,,Air Conditioning (kW),532.76128,476.22123,485.25901,449.16146,438.29905,421.17463,361.18909,437.75673,399.15372,377.75763,433.7843,376.86757,425.10127,368.52046,389.5256,424.76764,377.75763
BLD5PST,HEAT,,Heating (kW),12.06619,59.01156,32.37713,76.90327,18.59014,50.11642,38.13683,95.88584,69.16205,66.87846,131.59767,102.73322,151.85954,139.78437,159.14589,214.09491,66.87846
BLD5PST,COP,,VAV_1_COOLC DXCOIL,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
BLD5PST,EffHeat,,VAV_1_HEATC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.78,0.8
BLD5PST,Fan,,Fan Max Flow Rate (m3/s ),26.06,22.88,25.46,22.42,25.47,24.26,21.81,21.42,24.12,22.82,21.91,22.77,21.9,22.26,22.64,25.66,22.82
BLD5NEW,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,BaselWall
BLD5NEW,RvalWall,,R-value (m2úK / W),1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,1.420454545,2.096436059,2.096436059,2.096436059,2.096436059,2.754820937,2.754820937,1.420454545
BLD5NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,BaselRoof
BLD5NEW,RvalRoof,,R-value (m2úK / W),2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.793296089,2.849002849,2.849002849,2.849002849,2.849002849,2.793296089,3.717472119,2.793296089
BLD5NEW,Uwindow,,U-Factor (W / m2úK),5.835,5.835,5.835,3.241,3.241,3.241,5.835,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241,2.615,3.241
BLD5NEW,SHGC,,SHGC,0.251,0.251,0.251,0.252,0.252,0.252,0.39,0.385,0.385,0.385,0.385,0.385,0.385,0.385,0.487,0.296,0.385
BLD5NEW,HVAC,,Air Conditioning (kW),423.21696,426.57746,429.00026,391.41866,315.66831,358.41162,346.99102,410.1453,371.97152,339.15414,393.22367,356.70959,388.75956,350.57399,367.78584,293.70008,339.15414
BLD5NEW,HEAT,,Heating (kW),33.85937,62.37294,37.12477,81.07827,30.38901,55.87901,39.46057,97.13862,71.23748,70.43337,134.15525,104.25492,154.03368,141.20531,160.77409,226.15394,70.43337
BLD5NEW,COP,,VAV_1_COOLC DXCOIL,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23
BLD5NEW,EffHeat,,VAV_1_HEATC,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.78,0.8
BLD5NEW,Fan,,Fan Max Flow Rate (m3/s ),20.26,20.69,22.27,19.62,17.87,20.24,20.97,20.59,22.46,20.49,20.21,21.56,20.42,21.18,21.5,17.74,20.49
