3,UWG,Location Summary,,,,,,,,,,,,,,,,,,,
UWG,City,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Basel,
BLD6PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C,
BLD6PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,BaselWall,
BLD6PRE,RvalWall,,R-value (m2·K / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217,
BLD6PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,BaselRoof,
BLD6PRE,RvalRoof,,R-value (m2·K / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375,
BLD6PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835,
BLD6PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54,
BLD6PRE,HVAC,,Air Conditioning (kW),218.24192,234.64954,264.48508,252.17582,155.92956,223.95762,140.40447,257.80454,193.79691,173.15031,310.8604,254.9565,349.69013,271.78452,371.25555,344.88388,173.15031,73.36523126
BLD6PRE,HEAT,,Heating (kW),106.46034,211.53291,157.57126,256.13077,123.8699,197.4416,157.15501,285.03616,234.97521,219.77066,352.75698,295.53907,395.18994,373.61315,414.56491,554.79943,219.77066,
BLD6PRE,COP,,SPLITSYSTEMAC:01_UNITARY_PACKAGE_COOLCOIL,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,
BLD6PRE,EffHeat,,SPLITSYSTEMAC:01_UNITARY_PACKAGE_HEATCOIL,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,
BLD6PRE,Fan,,Fan Max Flow Rate (m3/s ),8.84,9.55,11.44,10.46,6.94,10.87,7.5,10.6,10.55,9.03,12.76,12.84,14.4,15.36,15.42,20.04,9.03,
BLD6PST,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,BaselWall,
BLD6PST,RvalWall,,R-value (m2·K / W),0.32,1.17370892,0.733675715,1.35501355,0.800640512,1.101321586,1.35501355,1.98019802,1.76056338,1.915708812,2.145922747,2.145922747,2.7100271,2.444987775,3.039513678,3.90625,1.915708812,
BLD6PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,BaselRoof,
BLD6PST,RvalRoof,,R-value (m2·K / W),2.375296912,2.666666667,3.831417625,2.444987775,1.757469244,3.663003663,1.996007984,3.03030303,2.985074627,2.747252747,3.378378378,3.50877193,3.968253968,3.649635036,4.405286344,5.747126437,2.747252747,
BLD6PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092,
BLD6PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392,
BLD6PST,HVAC,,Air Conditioning (kW),252.20895,186.59445,224.87701,202.47621,146.06992,179.38431,110.8242,208.97281,169.47109,142.57295,277.40409,228.9291,306.86731,243.31846,325.3708,302.81772,142.57295,
BLD6PST,HEAT,,Heating (kW),132.396,192.17488,152.17507,222.84134,122.74352,177.72986,137.65543,244.54196,202.11178,192.41657,321.55834,263.23908,355.21196,337.57264,370.91744,496.73946,192.41657,
BLD6PST,COP,,SPLITSYSTEMAC:01_UNITARY_PACKAGE_COOLCOIL,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,
BLD6PST,EffHeat,,SPLITSYSTEMAC:01_UNITARY_PACKAGE_HEATCOIL,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,
BLD6PST,Fan,,Fan Max Flow Rate (m3/s ),10.22,7.55,9.38,8.28,6.39,8.23,5.74,8.56,8.66,7.13,11.36,11.16,12.56,13.52,13.43,17.47,7.13,
BLD6NEW,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,BaselWall,
BLD6NEW,RvalWall,,R-value (m2·K / W),1.420454545,1.420454545,1.420454545,2.096436059,2.096436059,2.096436059,2.096436059,2.754820937,2.754820937,2.754820937,2.754820937,2.754820937,2.754820937,2.754820937,2.754820937,3.205128205,2.754820937,
BLD6NEW,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,BaselRoof,
