3,UWG,Location Summary,,,,,,,,,,,,,,,,,,
Building,City,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks,Basel
BLD8PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8,4C
BLD8PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD8PRE,RvalWall,,R-value (m2·K / W),0.765696784,0.765696784,0.765696784,0.782472613,0.765696784,0.765696784,0.786163522,0.989119683,0.956937799,1.006036217,1.128668172,1.094091904,1.215066829,1.215066829,1.295336788,1.408450704,1.006036217
BLD8PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD8PRE,RvalRoof,,R-value (m2·K / W),1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,1.757469244,2.044989775,1.976284585,2.070393375,2.5,2.369668246,2.985074627,2.985074627,2.93255132,2.985074627,2.070393375
BLD8PRE,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,5.835,3.525,3.525,3.525,3.525,3.525,3.525,5.835
BLD8PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.407,0.407,0.407,0.407,0.407,0.407,0.54
BLD8PRE,HVAC,,Air Conditioning (kW),911.68675,951.77063,934.40915,916.27017,677.22237,810.99934,734.83987,865.50026,611.91933,572.74293,679.10793,477.92764,615.54206,405.80664,552.2387,465.30941,572.74293
BLD8PRE,HEAT,,Heating (kW),663.41412,849.61263,760.11702,906.81877,644.11757,783.13334,818.31493,937.47086,744.16136,769.71096,878.08124,692.18587,871.18896,767.20646,831.761,1187.68451,769.71096
BLD8PRE,COP,,Air Conditioning (COP),3.227074677,3.202135906,3.20340888,3.22796387,3.255776557,3.254045337,3.25147643,3.250737325,3.257130283,3.25869,3.257691836,3.266052815,3.259380585,3.275436184,3.260638483,3.277487684,3.25869
BLD8PRE,EffHeat,,Heating Efficiency (%),0.75053486,0.750798201,0.750253781,0.750896053,0.750575981,0.750504465,0.750048428,0.751116057,0.751210586,0.7510322,0.753198589,0.753511354,0.754141956,0.754390824,0.754754782,0.766465613,0.7510322
BLD8PRE,Fan,,Fan Max Flow Rate (m3/s ),38.99,40.71,42.87,41.39,36.3,41.42,45.5,37.52,37.03,34.16,29.19,27.98,26.63,25.55,24.73,29.95,34.16
BLD8PST,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD8PST,RvalWall,,R-value (m2·K / W),0.32,1.17370892,0.733675715,1.35501355,0.800640512,1.101321586,1.35501355,1.98019802,1.76056338,1.915708812,2.145922747,2.145922747,2.7100271,2.444987775,3.039513678,3.90625,1.915708812
BLD8PST,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD8PST,RvalRoof,,R-value (m2·K / W),2.375296912,2.666666667,3.831417625,2.444987775,1.757469244,3.663003663,1.996007984,3.03030303,2.985074627,2.747252747,3.378378378,3.50877193,3.968253968,3.649635036,4.405286344,5.747126437,2.747252747
BLD8PST,Uwindow,,U-Factor (W / m2·K),5.835,5.835,5.835,4.092,5.835,5.835,4.092,3.354,4.092,4.092,3.354,3.354,2.956,2.956,2.956,2.956,4.092
BLD8PST,SHGC,,SHGC,0.251,0.251,0.251,0.255,0.44,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,0.392
BLD8PST,HVAC,,Air Conditioning (kW),822.19052,686.76407,643.31735,679.65457,645.02016,558.53534,618.4265,582.86222,435.64904,433.2462,556.12585,388.9968,499.24598,355.29686,483.04755,385.20127,433.2462
BLD8PST,HEAT,,Heating (kW),605.19577,658.40975,536.04162,696.78487,611.17731,533.87754,734.42428,676.38418,541.20769,581.0039,749.83059,563.15955,742.79717,687.13792,737.61002,1039.38608,581.0039
BLD8PST,COP,,Air Conditioning (COP),3.251414218,3.25747207,3.258547652,3.25803101,3.256450486,3.261361642,3.254174534,3.260825089,3.267658201,3.264334267,3.261871531,3.294744355,3.264779053,3.2904182,3.264172794,3.311235467,3.264334267
BLD8PST,EffHeat,,Heating Efficiency (%),0.72428526,0.727894268,0.728537355,0.728566275,0.724593166,0.730296523,0.72449251,0.731858758,0.731623171,0.731135247,0.731309927,0.735594216,0.7338123,0.732811662,0.734010246,0.729883913,0.731135247
BLD8PST,Fan,,Fan Max Flow Rate (m3/s ),34.96,29.49,27.75,29.3,34.13,25.79,38.14,25.32,25.33,24.81,24.23,21.9,21.95,22.52,21.29,25.12,24.81
